time: 2024-10-31 13:59:31, corrdinates: x=159.0799987792969, y=-35.939999389648435, z=560.3800000000001
time: 2024-10-31 13:59:45, corrdinates: x=159.05833435058594, y=-35.333333333333336, z=560.4833333333333
time: 2024-10-31 14:00:14, corrdinates: x=158.9625015258789, y=-35.66249942779541, z=560.45
time: 2024-10-31 14:00:33, corrdinates: x=159.04999923706055, y=-35.88749980926514, z=560.2125000000001
time: 2024-10-31 14:02:02, corrdinates: x=159.16666666666666, y=-36.70000076293945, z=560.325
time: 2024-10-31 14:02:31, corrdinates: x=149.44444444444446, y=-34.0444450378418, z=559.5277777777778
time: 2024-10-31 14:04:00, corrdinates: x=149.78333282470703, y=-33.84166653951009, z=559.5333333333334
time: 2024-10-31 14:06:43, corrdinates: x=55.09166653951009, y=-37.89999961853027, z=553.4333333333334
time: 2024-10-31 14:07:10, corrdinates: x=-42.10000038146973, y=-35.40000025431315, z=547.9416666666666
time: 2024-10-31 14:07:40, corrdinates: x=-42.65000025431315, y=-35.383333418104385, z=547.8166666666667
time: 2024-10-31 14:10:13, corrdinates: x=-42.65000025431315, y=-34.79999923706055, z=547.875
time: 2024-10-31 14:12:43, corrdinates: x=-144.83999938964843, y=-38.73999938964844, z=540.26
time: 2024-10-31 14:14:27, corrdinates: x=-95.18571254185268, y=-36.75, z=543.6785714285714
time: 2024-10-31 14:16:14, corrdinates: x=-42.78333282470703, y=-34.94166628519694, z=546.8249999999999
time: 2024-10-31 14:17:12, corrdinates: x=40.69285692487444, y=-34.5999995640346, z=551.9142857142857
time: 2024-10-31 14:18:13, corrdinates: x=40.594444274902344, y=-34.122222900390625, z=551.9055555555556
time: 2024-10-31 14:18:37, corrdinates: x=-43.34166653951009, y=-35.52499961853027, z=546.9
time: 2024-10-31 14:19:45, corrdinates: x=-43.34999974568685, y=-35.71111043294271, z=546.911111111111
time: 2024-10-31 14:22:13, corrdinates: x=39.514286041259766, y=-33.92142868041992, z=553.2428571428571
time: 2024-10-31 14:23:03, corrdinates: x=63.3428579057966, y=-34.728571210588726, z=553.6285714285714
time: 2024-10-31 14:24:36, corrdinates: x=57.5, y=-36.98750019073486, z=638.0125
time: 2024-10-31 14:27:38, corrdinates: x=56.06666692097982, y=-37.95000076293945, z=658.3083333333333
time: 2024-10-31 14:30:28, corrdinates: x=52.21428516932896, y=-37.26428549630301, z=757.2714285714286
time: 2024-10-31 14:32:22, corrdinates: x=40.87142835344587, y=-48.857142857142854, z=913.342857142857
time: 2024-10-31 14:33:58, corrdinates: x=38.97500038146973, y=-46.583333333333336, z=864.4583333333334
time: 2024-10-31 14:40:00, corrdinates: x=49.45833396911621, y=-41.916666666666664, z=805.6583333333334
time: 2024-10-31 14:41:57, corrdinates: x=63.54375076293945, y=-38.38749980926514, z=556.6937499999999
time: 2024-10-31 14:43:43, corrdinates: x=60.53333346048991, y=-45.10000038146973, z=546.4499999999999
time: 2024-10-31 14:45:07, corrdinates: x=62.53333282470703, y=-38.18333307902018, z=596.9
time: 2024-10-31 14:47:39, corrdinates: x=57.29999923706055, y=-38.79999923706055, z=646.1875
time: 2024-10-31 14:49:17, corrdinates: x=63.606250286102295, y=-46.68125009536743, z=553.3125000000001
time: 2024-10-31 14:50:12, corrdinates: x=70.81999969482422, y=-51.54000015258789, z=552.6600000000001
time: 2024-10-31 14:50:35, corrdinates: x=70.78333282470703, y=-52.02500025431315, z=552.6916666666666
time: 2024-10-31 14:50:49, corrdinates: x=66.54999923706055, y=-37.937500953674316, z=553.5875
time: 2024-10-31 14:51:54, corrdinates: x=66.31875038146973, y=-37.79374980926514, z=553.64375
time: 2024-10-31 14:53:34, corrdinates: x=73.09000244140626, y=-51.22999954223633, z=586.36
