time: 2024-10-31 10:01:53, corrdinates: x=46.41111161973741, y=110.15555402967665, z=694.661111111111
time: 2024-10-31 10:02:14, corrdinates: x=54.68333435058594, y=108.50833257039388, z=695.0166666666668
time: 2024-10-31 10:02:50, corrdinates: x=64.76250076293945, y=107.18749809265137, z=695.5125
time: 2024-10-31 10:03:15, corrdinates: x=80.73888905843098, y=104.65555402967665, z=696.3277777777779
time: 2024-10-31 10:03:38, corrdinates: x=84.58124923706055, y=106.0687484741211, z=696.425
time: 2024-10-31 10:04:04, corrdinates: x=97.87142944335938, y=105.83571297781808, z=697.1857142857144
time: 2024-10-31 10:04:31, corrdinates: x=109.98749923706055, y=100.18124961853027, z=697.8812499999999
time: 2024-10-31 10:04:55, corrdinates: x=120.11666615804036, y=96.3000005086263, z=698.5
time: 2024-10-31 10:05:18, corrdinates: x=128.31666819254556, y=100.5750020345052, z=698.8583333333332
time: 2024-10-31 10:05:42, corrdinates: x=135.4200012207031, y=105.1500015258789, z=699.1600000000001
time: 2024-10-31 10:06:09, corrdinates: x=149.49285452706474, y=98.15714263916016, z=700.1214285714286
time: 2024-10-31 10:06:32, corrdinates: x=159.35000038146973, y=96.75, z=700.675
time: 2024-10-31 10:06:56, corrdinates: x=165.05714198521204, y=105.68571363176618, z=701.0
time: 2024-10-31 10:07:17, corrdinates: x=176.41428702218192, y=108.4500002179827, z=701.6571428571427
time: 2024-10-31 10:07:35, corrdinates: x=183.40999755859374, y=107.9000015258789, z=702.08
time: 2024-10-31 10:07:56, corrdinates: x=195.09000244140626, y=106.56000061035157, z=702.72
time: 2024-10-31 10:08:14, corrdinates: x=204.81875038146973, y=107.38749885559082, z=703.2750000000001
time: 2024-10-31 10:08:32, corrdinates: x=216.79999796549478, y=106.14166641235352, z=703.975
time: 2024-10-31 10:08:52, corrdinates: x=226.88333384195963, y=105.06666819254558, z=704.6
time: 2024-10-31 10:09:13, corrdinates: x=238.7083307902018, y=103.57500076293945, z=705.475
