time: 2024-10-31 09:45:53, corrdinates: x=24.660000228881835, y=96.4000015258789, z=693.5899999999999
time: 2024-10-31 09:46:33, corrdinates: x=22.524999618530273, y=104.33333333333333, z=693.3333333333334
time: 2024-10-31 09:46:58, corrdinates: x=21.06666660308838, y=110.64166641235352, z=693.3000000000001
time: 2024-10-31 09:47:27, corrdinates: x=25.46666685740153, y=121.47499974568684, z=693.625
time: 2024-10-31 09:47:54, corrdinates: x=25.621428625924246, y=134.5142865862165, z=693.5714285714286
time: 2024-10-31 09:48:23, corrdinates: x=21.59444448682997, y=142.27222527398004, z=693.4222222222223
time: 2024-10-31 09:48:48, corrdinates: x=23.83750009536743, y=154.87500381469727, z=693.5625
time: 2024-10-31 09:49:18, corrdinates: x=19.177778244018555, y=160.8888871934679, z=693.2500000000001
time: 2024-10-31 09:49:45, corrdinates: x=20.622222476535374, y=172.19444274902344, z=693.3388888888888
time: 2024-10-31 09:50:13, corrdinates: x=20.35, y=180.0199981689453, z=693.37
time: 2024-10-31 09:50:42, corrdinates: x=24.769999694824218, y=188.04000244140624, z=693.6200000000001
time: 2024-10-31 09:51:11, corrdinates: x=24.383333206176758, y=201.58333333333334, z=693.6583333333333
time: 2024-10-31 09:51:37, corrdinates: x=25.879999542236327, y=205.68999938964845, z=693.7800000000001
time: 2024-10-31 09:51:59, corrdinates: x=22.40833314259847, y=211.40833536783853, z=693.5583333333334
