time: 2024-10-31 10:11:14, corrdinates: x=248.7750015258789, y=104.36249923706055, z=705.85
time: 2024-10-31 10:11:36, corrdinates: x=82.2300018310547, y=169.2300048828125, z=696.7900000000002
time: 2024-10-31 10:12:02, corrdinates: x=123.08124923706055, y=206.56250381469727, z=699.0687500000001
time: 2024-10-31 10:12:27, corrdinates: x=113.86000213623046, y=199.66000061035157, z=668.45
time: 2024-10-31 10:12:50, corrdinates: x=119.14000091552734, y=213.08999938964843, z=655.0600000000002
time: 2024-10-31 10:13:14, corrdinates: x=137.16000061035157, y=176.0199981689453, z=643.63
time: 2024-10-31 10:13:34, corrdinates: x=154.38333129882812, y=178.59166463216147, z=626.9166666666667
time: 2024-10-31 10:14:02, corrdinates: x=141.61666361490884, y=169.80833180745444, z=607.8083333333334
time: 2024-10-31 10:14:27, corrdinates: x=126.03750038146973, y=106.14999771118164, z=588.8125000000001
time: 2024-10-31 10:14:50, corrdinates: x=127.22500038146973, y=101.92499923706055, z=569.825
time: 2024-10-31 10:15:10, corrdinates: x=149.125, y=99.53333409627278, z=551.1916666666666
time: 2024-10-31 10:15:34, corrdinates: x=139.76666514078775, y=116.56666564941406, z=534.3083333333335
time: 2024-10-31 10:15:46, corrdinates: x=133.14167022705078, y=90.93333307902019, z=518.1916666666666
