time: 2024-10-30 18:22:04, corrdinates: x=78.32000122070312, y=351.0299987792969, z=1018.0899999999999
time: 2024-10-30 18:22:30, corrdinates: x=17.799999237060547, y=89.25, z=630.2
time: 2024-10-30 18:22:57, corrdinates: x=26.25, y=90.28000030517578, z=627.4300000000001
time: 2024-10-30 18:23:10, corrdinates: x=37.4055553012424, y=89.55000135633681, z=625.75
time: 2024-10-30 18:23:28, corrdinates: x=44.99166615804037, y=86.46666717529297, z=625.7083333333334
time: 2024-10-30 18:23:42, corrdinates: x=56.40999984741211, y=87.73999938964843, z=626.47
time: 2024-10-30 18:24:02, corrdinates: x=62.75000076293945, y=85.75999908447265, z=626.6500000000001
time: 2024-10-30 18:24:16, corrdinates: x=76.96666717529297, y=88.23333358764648, z=626.2333333333335
time: 2024-10-30 18:24:30, corrdinates: x=81.75000127156575, y=85.48333231608073, z=626.0083333333333
time: 2024-10-30 18:24:43, corrdinates: x=95.375, y=88.14166514078777, z=625.2333333333332
time: 2024-10-30 18:24:56, corrdinates: x=100.82499980926514, y=85.01875019073486, z=626.21875
time: 2024-10-30 18:25:09, corrdinates: x=115.39166895548503, y=87.95833333333333, z=625.1500000000001
time: 2024-10-30 18:25:23, corrdinates: x=122.7999979654948, y=87.55833435058594, z=625.4250000000001
time: 2024-10-30 18:25:35, corrdinates: x=134.86666615804037, y=87.40000025431316, z=628.225
time: 2024-10-30 18:25:47, corrdinates: x=145.18333435058594, y=88.11666742960612, z=626.375
time: 2024-10-30 18:25:59, corrdinates: x=152.9800018310547, y=87.13000030517578, z=626.0500000000001
time: 2024-10-30 18:26:17, corrdinates: x=162.96111382378473, y=87.96110958523221, z=626.1444444444444
time: 2024-10-30 18:26:31, corrdinates: x=171.82000122070312, y=86.43000030517578, z=626.9000000000001
time: 2024-10-30 18:26:55, corrdinates: x=185.4388902452257, y=87.71111128065321, z=626.5
time: 2024-10-30 18:27:06, corrdinates: x=190.78333028157553, y=84.31666564941406, z=628.0500000000001
time: 2024-10-30 18:27:19, corrdinates: x=202.56000366210938, y=87.0199981689453, z=624.85
time: 2024-10-30 18:27:32, corrdinates: x=208.91000061035157, y=84.07999877929687, z=627.1400000000001
time: 2024-10-30 18:27:44, corrdinates: x=221.96874809265137, y=86.90624904632568, z=627.9812499999999
time: 2024-10-30 18:27:56, corrdinates: x=232.78000183105468, y=87.17000122070313, z=627.3000000000001
time: 2024-10-30 18:28:23, corrdinates: x=246.42856924874442, y=89.18571254185268, z=627.1357142857144
time: 2024-10-30 18:28:39, corrdinates: x=252.30714198521204, y=85.9857155936105, z=628.9428571428572
time: 2024-10-30 18:28:54, corrdinates: x=0, y=0, z=0
time: 2024-10-30 18:29:07, corrdinates: x=0, y=0, z=0
