time: 2024-10-31 08:58:40, corrdinates: x=196.61000061035156, y=91.4, z=679.6100000000001
time: 2024-10-31 09:00:07, corrdinates: x=89.10000174386161, y=94.38571275983539, z=599.8714285714286
time: 2024-10-31 09:01:28, corrdinates: x=79.34285627092633, y=100.10714394705636, z=892.1214285714286
time: 2024-10-31 09:02:21, corrdinates: x=125.79285757882255, y=104.99999891008649, z=932.7571428571428
time: 2024-10-31 09:04:08, corrdinates: x=46.19999961853027, y=104.26000061035157, z=929.1800000000001
time: 2024-10-31 09:06:39, corrdinates: x=35.97142900739397, y=111.40714372907367, z=961.0
time: 2024-10-31 09:07:12, corrdinates: x=48.88749980926514, y=124.75000190734863, z=958.8874999999999
time: 2024-10-31 09:08:24, corrdinates: x=46.44999933242798, y=140.44375038146973, z=957.50625
time: 2024-10-31 09:09:17, corrdinates: x=38.93750047683716, y=158.65625, z=954.0750000000002
time: 2024-10-31 09:10:16, corrdinates: x=58.125, y=180.19166564941406, z=953.6833333333335
time: 2024-10-31 09:11:39, corrdinates: x=63.42499923706055, y=193.0749969482422, z=952.5125
time: 2024-10-31 09:12:24, corrdinates: x=72.73333485921223, y=207.3000005086263, z=950.6999999999999
time: 2024-10-31 09:13:20, corrdinates: x=85.49166742960612, y=224.2916692097982, z=951.1583333333334
time: 2024-10-31 09:14:06, corrdinates: x=89.03000183105469, y=233.9, z=952.39
time: 2024-10-31 09:14:50, corrdinates: x=70.80999908447265, y=249.23999938964843, z=949.9799999999999
time: 2024-10-31 09:15:35, corrdinates: x=76.86249923706055, y=276.43124771118164, z=945.7812500000001
